Time,p0.01,p0.02,p0.03,p0.04,p0.05,p0.06,p0.07,p0.08,p0.09,p0.1,p0.11,p0.12,p0.13,p0.14,p0.15,p0.16,p0.17,p0.18,p0.19,p0.2,p0.21,p0.22,p0.23,p0.24,p0.25,p0.26,p0.27,p0.28,p0.29,p0.3,p0.31,p0.32,p0.33,p0.34,p0.35,p0.36,p0.37,p0.38,p0.39,p0.4,p0.41,p0.42,p0.43,p0.44,p0.45,p0.46,p0.47,p0.48,p0.49,p0.5,p0.51,p0.52,p0.53,p0.54,p0.55,p0.56,p0.57,p0.58,p0.59,p0.6,p0.61,p0.62,p0.63,p0.64,p0.65,p0.66,p0.67,p0.68,p0.69,p0.7,p0.71,p0.72,p0.73,p0.74,p0.75,p0.76,p0.77,p0.78,p0.79,p0.8,p0.81,p0.82,p0.83,p0.84,p0.85,p0.86,p0.87,p0.88,p0.89,p0.9,p0.91,p0.92,p0.93,p0.94,p0.95,p0.96,p0.97,p0.98,p0.99,true_target,timestamp_start,timestamp_forecast,station
2023-12-28 07:00:00,20.09122615438699,26.61732308861148,27.476213722427108,27.847939853396916,28.206967742593278,28.51671844847779,28.69260257869227,28.892704472352513,29.019689374214796,29.13435048838038,29.227496499727305,29.33785119178756,29.467724244628254,29.55748661152794,29.65529326409361,29.72100956119334,29.799988488631488,29.88110097940134,29.942050742732842,30.013485641931464,30.08632915993304,30.160993109812463,30.217836422678026,30.26935466155779,30.31730530071201,30.37339153166398,30.445205130995465,30.502040336799066,30.559057210067184,30.601645179762894,30.656517112662417,30.70114063741906,30.754285105530066,30.807348406108083,30.85790899951404,30.916459468337017,30.99353346965231,31.042580617055016,31.09597537767148,31.14686146230419,31.20332200024408,31.26004534166795,31.306771161007777,31.343576096723567,31.39461541766301,31.44420037841585,31.489693202551923,31.529074055262626,31.599038271022447,31.646903639739953,31.701780019908615,31.756303700473975,31.79845026667949,31.85382999544508,31.92203981065237,31.966801972803168,32.02844366950136,32.08265235067996,32.13720875209542,32.18350311781378,32.232383966920644,32.290123101420505,32.328190868755854,32.40390617269248,32.46726534020119,32.54131978928763,32.5943455477855,32.66114921970855,32.736304611818035,32.802757158264,32.863801357873776,32.920842284989185,32.985071816445775,33.0686831705274,33.14588137183662,33.216024570053925,33.31060455594912,33.39768844074866,33.50290778595153,33.6103754385218,33.70825301049651,33.7959825916759,33.87676450250576,34.00472254301988,34.12980149531627,34.27893063041574,34.4735589847684,34.6308615372639,34.784826506474204,34.99238370493028,35.192190654110185,35.39300242468974,35.604234840903864,36.14421236852783,36.74165183053029,37.50147560166938,38.359352745763296,39.56139305048784,44.135299823103104,28.15956925,2023-12-28 07:00:00,2023-12-29 07:00:00,stn_102
2023-12-28 08:00:00,21.36561655286893,27.935840542350675,28.745517713805842,29.13765236147695,29.49899353435177,29.794867599336904,29.982829441243354,30.18204003630547,30.299987523487594,30.43080001231427,30.510260322422297,30.622870154880992,30.746740704160892,30.834943099606477,30.93256258648867,30.996403408213467,31.09506361298935,31.160461684508213,31.231476322929993,31.30176189571555,31.370336973664486,31.439369642150865,31.495985278933727,31.553103551853948,31.59942818563252,31.66388593747915,31.73406861570478,31.78449431584985,31.83742902054036,31.888143151219207,31.943603025931456,31.985940687838216,32.035657850903384,32.08601885488123,32.14171914685494,32.20114663405436,32.27864581360215,32.32544870086653,32.38344781407968,32.428001372189314,32.486304428167,32.54013715304263,32.58298524180559,32.633742092184384,32.67931676195988,32.726438417571835,32.77188552481298,32.817379554759796,32.8819539814919,32.92856258104102,32.983841358636056,33.04058825604564,33.08766954968788,33.14270171860912,33.204006886736416,33.25618956149864,33.3142175559595,33.37046812253797,33.41664880170943,33.474141544903404,33.52073829563906,33.57486443881144,33.619366007493646,33.692649947880085,33.754313071551046,33.82438128835535,33.892074178016806,33.9521683964749,34.0342595127147,34.10117666011631,34.15422926293984,34.2094430489339,34.27964896563849,34.361816874917366,34.43623480671705,34.51076837233973,34.60443011547005,34.69711913390825,34.78699477116644,34.90325717477531,34.99887037700932,35.09955508679816,35.169277988367185,35.31110690244495,35.42862717839728,35.577322990933254,35.75978918723143,35.92329543989244,36.092020068644686,36.2940782061369,36.476450648158384,36.68529669853686,36.9022169075769,37.4531413613855,38.070896942862845,38.79984281748277,39.653926157945655,41.04740059968406,45.77457205857174,30.10647149,2023-12-28 08:00:00,2023-12-29 08:00:00,stn_102
2023-12-28 09:00:00,21.476756102282977,28.099354771186274,28.85105900624635,29.257036214261895,29.615263654918728,29.904979207506816,30.102595005553237,30.297834449866574,30.42129876309792,30.54977809265009,30.629168804621177,30.738495572830367,30.86040177037333,30.949556162030937,31.0442672002343,31.113166061655345,31.20908874022629,31.271215093573407,31.343587484224106,31.42233070242002,31.487832276479615,31.553408874383987,31.618069332472956,31.67071529205978,31.71785660847229,31.78388246150033,31.848080475144076,31.90202690168654,31.95255316230839,32.004164351905864,32.06496692016259,32.10471251930799,32.159385801294206,32.20004881846733,32.2523459983882,32.31972988721255,32.39806088890536,32.44680626702017,32.50425264485766,32.55103485986096,32.608130501391216,32.65342076411419,32.70218919569469,32.75705549520385,32.79496596217722,32.852613071433595,32.89645795263988,32.938169439207584,33.00330243813755,33.05079060731291,33.10698837832945,33.15629573240245,33.2080451160386,33.26556986236002,33.32374165759343,33.379874169723514,33.43489388052887,33.49217664525914,33.534629902833366,33.60588088525361,33.64387345443798,33.69702013039406,33.74803675703344,33.810846926802704,33.88208131468336,33.949090430882215,34.01748943317664,34.08246151062751,34.16279182174155,34.23232816051835,34.29171986965129,34.34597999817776,34.40650447756627,34.49277834574627,34.5699961119804,34.64129364184744,34.7400701212765,34.82446718070506,34.91504788072515,35.03678466030343,35.12681584564329,35.23219576154235,35.31080453919046,35.44175824234894,35.56793362230963,35.72383332073687,35.893388955216146,36.04024431053017,36.225783251913725,36.417137930500964,36.63352795094802,36.80703935950431,37.033486804770575,37.567475491326164,38.18697402356177,38.910146903918,39.76470695193814,41.16004132283895,46.244401150337595,31.07195545,2023-12-28 09:00:00,2023-12-29 09:00:00,stn_102
2023-12-28 10:00:00,22.946306019440186,29.569429330056927,30.32151073405667,30.727080309662917,31.08527736890387,31.374903172122483,31.57720033460903,31.76737978564591,31.89099571003646,32.019831635720074,32.09861766488628,32.20813482659308,32.33010233579807,32.419125704985476,32.514075393851236,32.58491073544776,32.67896762208499,32.74097429785957,32.81330968634207,32.89233121971461,32.957876977366325,33.02299637256845,33.087480969096234,33.14235405908179,33.19257036569086,33.25333187349669,33.317706232959885,33.3716112908988,33.422461989235785,33.47378324539607,33.53447518532121,33.57486613873554,33.629362543077825,33.67315193344761,33.72173510090657,33.78924533212679,33.867599578136534,33.91641393511073,33.97369145009312,34.020649848729796,34.078297670190366,34.12385509364604,34.17188450807786,34.22664632967855,34.264458894177466,34.322059370409896,34.36603470910154,34.4076774418251,34.47451323502264,34.52425773175404,34.57762043496593,34.6304970633792,34.677642094947025,34.735085893765515,34.79317942050339,34.84782797587831,34.90431137039358,34.96162500452919,35.00410949222628,35.07528951101333,35.11342359980284,35.166428210789,35.214384733942744,35.27815468777092,35.349283985773376,35.41832162924146,35.48686498806683,35.55185101954498,35.63207177609503,35.70172453488408,35.761037907012934,35.81431991925524,35.87456002185605,35.96220285015588,36.03927058005783,36.11062266101299,36.209381158532786,36.293781163522695,36.38415314215852,36.50653302481821,36.595434755980314,36.701725285965026,36.780205945643225,36.91068274877108,37.03732611370305,37.19341732890675,37.362370178946215,37.509459290565395,37.695116021499175,37.88480683994094,38.10188882795399,38.27571603629623,38.50339280792197,39.03689916513879,39.65581309790346,40.379586176711264,41.23316582582401,42.628843616786114,47.71339073984132,31.84071311,2023-12-28 10:00:00,2023-12-29 10:00:00,stn_102
2023-12-28 11:00:00,23.44590437988063,30.06910209409592,30.821461296135986,31.22656277753371,31.585426118574517,31.874882342184822,32.072449053345025,32.266949364024576,32.39081691226444,32.519773065015244,32.59848165859464,32.70798973337711,32.829737278112155,32.9187996084674,33.01410184245056,33.0844764065332,33.178933660267674,33.24081577211153,33.313181544238596,33.39198707738477,33.457583818127546,33.52303189563518,33.58799761012396,33.642011768825014,33.69220703815546,33.75309511200277,33.81735667362401,33.87130240193869,33.92253966545847,33.973493991310505,34.03472237867254,34.074569732981985,34.12913649994245,34.17284879835001,34.22140299167717,34.288955282376314,34.36737889021482,34.41610707742802,34.4748373056575,34.52208572813302,34.578026395861706,34.62357305151596,34.67170254961284,34.72646842721901,34.764190138284526,34.82191137038377,34.8658823673339,34.90800420840602,34.974270603367515,35.02402962911398,35.077488453761916,35.130453813376356,35.17764795424689,35.23642744163853,35.29430398110049,35.34897656916299,35.40398912898672,35.461350048419376,35.503970509768386,35.57098986729127,35.61122609750407,35.66616783074588,35.71420114457115,35.77795800002284,35.84903875489828,35.917835279234524,35.98110049586681,36.04986060585689,36.13103597718897,36.201461447841034,36.260779566418975,36.31405897368712,36.374259102316486,36.45879537438535,36.53716894689983,36.60285103827427,36.70917391558555,36.793529808909156,36.88396812692874,37.006175071206485,37.09521045440219,37.197144384970706,37.27970708285338,37.4082782499183,37.53711305918148,37.693161671471074,37.86214164418112,38.0092005888032,38.194816045514855,38.38459822968289,38.59253756963926,38.77279418732282,39.00300110998305,39.536543405871896,40.15573846142799,40.87922086410449,41.7330129743604,43.12866365262815,47.844294756230596,31.87695138,2023-12-28 11:00:00,2023-12-29 11:00:00,stn_102
2023-12-28 12:00:00,25.50499491858511,30.075802496901062,30.829053153183192,31.2281475172573,31.5801869100735,31.877925872355387,32.07093979279686,32.26512305721484,32.39114003741641,32.51444176538357,32.59395209543483,32.7067707846873,32.82523645682977,32.91366664016546,33.0088273758398,33.078511946053325,33.17249690292166,33.236535550758326,33.308185176266235,33.386063048645255,33.454287951849906,33.51675282780541,33.58161954231558,33.636843613500446,33.68648238737697,33.74633311809858,33.81180069725668,33.866357688055835,33.92268337724644,33.967788242998324,34.03008876951261,34.068275489941556,34.12288729255636,34.1666629118734,34.22145505296615,34.28271138816231,34.360969020059464,34.41102604842645,34.468028277027635,34.51575484801958,34.57186445257782,34.61685844328015,34.665423199667224,34.72097463486889,34.75999570666934,34.81504300186482,34.859302180241166,34.902345420902115,34.969268054414925,35.01718235077117,35.072053963014454,35.126514631613695,35.171322700214056,35.232989597304204,35.287616172552454,35.34277624691318,35.399251030959064,35.45525212833002,35.50182181253021,35.56875745734772,35.60766773706608,35.65958379112517,35.710724281979594,35.77331231691888,35.84479605895412,35.91206090424674,35.981072105197015,36.04574533246098,36.12534212207303,36.19723132123592,36.254300366895514,36.31184051354285,36.374024743436394,36.45504246299838,36.53268720300367,36.60391924887526,36.70209983852742,36.786437517035,36.87688396623923,36.99920223081516,37.08903758349921,37.19481047619205,37.27329464851932,37.40402232270061,37.53040449421606,37.686502863629805,37.8572906122064,38.01023149516585,38.19297444659817,38.37882103324311,38.59485852201582,38.76886993325603,38.99646576898466,39.52997316800582,40.18096717141139,40.89036671428868,41.797931473071436,43.147194299731325,48.206430680427154,32.39668629,2023-12-28 12:00:00,2023-12-29 12:00:00,stn_102
2023-12-28 13:00:00,23.1383035696295,29.761747592272794,30.528646150403866,30.927982217054577,31.280123661119244,31.577710688584453,31.771226724144732,31.959440384168506,32.091072806723794,32.214079965751466,32.29409962356514,32.40637061832263,32.52477780787521,32.61334165647246,32.707779101254886,32.77821742267368,32.87253295624566,32.93644928501432,33.0077977056732,33.08619164496171,33.1539577027829,33.21656672431592,33.28161024237216,33.33700328035483,33.386178611378696,33.4460757499823,33.51187915495943,33.56610973860665,33.62466733750531,33.66766057879961,33.729857243219335,33.76824261848159,33.82269021816041,33.86669849110842,33.92158201376984,33.986292958112195,34.060739414312074,34.11086523368172,34.16802332280845,34.21610261858033,34.27195111657526,34.31665831654102,34.365640755465996,34.421125143106586,34.46011472118696,34.515194265998346,34.55908677905093,34.6021202768773,34.669570134718015,34.718225532573676,34.77208497086458,34.82653262533131,34.87173523153014,34.93283499817025,34.987677896105666,35.04569741479977,35.09952734973165,35.155227916507584,35.201867518175895,35.268508317917934,35.30762582490937,35.35966890908064,35.41234059433463,35.47420488962646,35.54493005981259,35.613309346123124,35.68108878726286,35.74559639561063,35.82726361635943,35.89804042435447,35.955200982234594,36.01215502453556,36.06870506652052,36.15422252739006,36.23300954731179,36.30425473189604,36.40158234766495,36.48646061692884,36.577399417859866,36.698185622537636,36.78841836494436,36.89196080304194,36.97390689632407,37.105014309402975,37.23039806357545,37.38614149452976,37.55535780526464,37.702119399663985,37.893747775097424,38.079060410937615,38.29630506103905,38.470129478251124,38.69547548014695,39.22900088447756,39.84980174356548,40.589977052151866,41.49715585811067,42.848456397046846,47.90650953919999,32.72673137,2023-12-28 13:00:00,2023-12-29 13:00:00,stn_102
2023-12-28 14:00:00,23.022078898104237,29.64589324163722,30.39989029720527,30.803241476328623,31.164013523436516,31.46145501434813,31.655389283541968,31.844036778275445,31.96797590401515,32.09790487087296,32.17714766568152,32.29001193717897,32.40855573135028,32.497386557947905,32.59211100966535,32.66001231800861,32.75576920625874,32.819150912425094,32.891458900543554,32.97090921250371,33.037931966372454,33.100533659038405,33.16505972429844,33.21925848326533,33.270224828567876,33.3301617264276,33.39621038526353,33.45031276984686,33.507584029327894,33.550675202984415,33.61396534343841,33.652314131681486,33.70684723489558,33.75092608406435,33.8060752015506,33.86659118061657,33.944584892215325,33.994949168472985,34.05224886101087,34.100686933019155,34.15616023984838,34.20064032262461,34.24962128037945,34.305308493499474,34.34432355356678,34.39955942500979,34.443058373841865,34.48650499005428,34.55340360020841,34.6023768759204,34.65652804676431,34.710637551878015,34.7559624374826,34.816834145919984,34.87176677527208,34.92955193088961,34.98337853723094,35.03923771876515,35.08590374243675,35.152388209081685,35.1916634420315,35.24493398140852,35.29669521423083,35.35829910468694,35.42907814869938,35.497249803247044,35.5651051972569,35.62969040444361,35.70982639949409,35.78167296702258,35.838370516968546,35.89330018615849,35.95040387573661,36.036655692210545,36.11720481691894,36.18213995839598,36.28082932199108,36.37031262067382,36.45830226207103,36.581284474382514,36.67240211229456,36.776323112829445,36.857466165752754,36.98664463210203,37.11262851675775,37.269198953738176,37.43919051552735,37.58594844837406,37.77125633534508,37.961714850753125,38.171225617982415,38.350384310930494,38.56866181088744,39.112778347208966,39.73400695686351,40.45548312390951,41.310065694926344,42.70560669290241,47.421237826096124,32.76579914,2023-12-28 14:00:00,2023-12-29 14:00:00,stn_102
2023-12-28 15:00:00,23.521230431197658,30.145223609091875,30.899404638441702,31.31243435241119,31.66446521759925,31.960952697658097,32.15504057401117,32.34364489273919,32.467461035629704,32.597506284559664,32.67848171195273,32.789413942080905,32.90795675197937,32.99679723191132,33.09168804309581,33.1620911676654,33.256501846910965,33.32020228342588,33.391056528298265,33.47045000191536,33.53737960390801,33.60062909155243,33.665120575236934,33.72089859859098,33.769665360201174,33.82960353497281,33.89573082454839,33.950458675949086,34.00839287870829,34.05100522924114,34.11342648068052,34.15182088817924,34.20632643314055,34.25151912727907,34.30579918597162,34.36985450780578,34.44407731018794,34.494430565724215,34.55175651076013,34.60035845320035,34.65725875247816,34.70238625078236,34.74956129396761,34.80481594766383,34.843849322979516,34.90009304208278,34.942846804608614,34.99118274185567,35.052956242329124,35.10188711092178,35.1561026566644,35.21018737571983,35.25538064659679,35.31634624222884,35.37125411367633,35.42646170377905,35.48287059937014,35.53873638395831,35.58537621387294,35.65188146838033,35.69119711905047,35.743390467714136,35.79630190992314,35.85781640664695,35.928593384816786,35.996775007594096,36.06464426164128,36.12924718168322,36.20939686335748,36.28121980825335,36.33795446491339,36.39290430260452,36.44984642848983,36.53624930384026,36.61678369558475,36.681780621167796,36.78041926249845,36.86985759065422,36.95794306040189,37.080860917263045,37.17182623623693,37.27603234421484,37.35704675419792,37.48614957301573,37.61212898437303,37.76880265320501,37.93873597446115,38.08545928861662,38.27067879990195,38.46136262055698,38.67105577860689,38.8498385761334,39.07879133851548,39.61220825348096,40.23375414289172,40.954946357142205,41.809815482289,43.205356644291705,48.29036356792425,33.6333187,2023-12-28 15:00:00,2023-12-29 15:00:00,stn_102
2023-12-28 16:00:00,23.88853596433645,30.52643781248616,31.281541135286496,31.680740383716703,32.0326993555094,32.32884665554071,32.522826496599976,32.7173989174001,32.841847985716896,32.96549616405876,33.04654674063082,33.157115874704495,33.277612104055265,33.36706930953299,33.46040062337471,33.529803405894505,33.62447323121123,33.68814927804734,33.760596793708174,33.83832349462674,33.9070886105738,33.96851152965901,34.032866102711694,34.08862638249654,34.13742037192329,34.19727545166811,34.26335384341538,34.31746150118169,34.3744429550025,34.41889513388232,34.48115617628373,34.51948086684089,34.57416060122159,34.618275466725926,34.67377025602237,34.73757979990049,34.81209419532657,34.86208209577981,34.919477162556554,34.96751895311812,35.02487405525062,35.06982989617253,35.11714113019224,35.17242618478842,35.21148676896769,35.266481672029826,35.31074876535697,35.358773803802315,35.42083609364767,35.46959075905076,35.523299310221155,35.57797029902986,35.62307929303167,35.68412335021774,35.73888864818252,35.79413729810899,35.850211643968485,35.906529753718885,35.95311112992971,36.01981773117386,36.05887323352399,36.11088819989795,36.16339833988426,36.225329205595294,36.29623051201492,36.36418024485548,36.43230856157673,36.49687807970228,36.57688172802315,36.64871190083603,36.705585207695165,36.76012255929256,36.81810361733661,36.90579428121955,36.98403494503794,37.04810465793505,37.14807202282186,37.237387878354475,37.325496668609006,37.449881077731874,37.53952689098687,37.64217784802551,37.7248222436198,37.8528067911462,37.98186940103722,38.13785040101347,38.30601336759867,38.45310234085654,38.63848802283703,38.828793907244545,39.04602942340897,39.22093615997499,39.447475035691554,39.98031169275977,40.60094064703798,41.32315339185301,42.24925916876209,43.598117621787985,48.65849590814698,33.84251795,2023-12-28 16:00:00,2023-12-29 16:00:00,stn_102
