station,timestamp_start,timestamp_forecast,true_target,p0.01,p0.02,p0.03,p0.04,p0.05,p0.06,p0.07,p0.08,p0.09,p0.1,p0.11,p0.12,p0.13,p0.14,p0.15,p0.16,p0.17,p0.18,p0.19,p0.2,p0.21,p0.22,p0.23,p0.24,p0.25,p0.26,p0.27,p0.28,p0.29,p0.3,p0.31,p0.32,p0.33,p0.34,p0.35,p0.36,p0.37,p0.38,p0.39,p0.4,p0.41,p0.42,p0.43,p0.44,p0.45,p0.46,p0.47,p0.48,p0.49,p0.5,p0.51,p0.52,p0.53,p0.54,p0.55,p0.56,p0.57,p0.58,p0.59,p0.6,p0.61,p0.62,p0.63,p0.64,p0.65,p0.66,p0.67,p0.68,p0.69,p0.7,p0.71,p0.72,p0.73,p0.74,p0.75,p0.76,p0.77,p0.78,p0.79,p0.8,p0.81,p0.82,p0.83,p0.84,p0.85,p0.86,p0.87,p0.88,p0.89,p0.9,p0.91,p0.92,p0.93,p0.94,p0.95,p0.96,p0.97,p0.98,p0.99
stn_102,2023-12-28 07:00:00,2023-12-29 07:00:00,28.15960036703348,23.968704223632812,25.405014038085938,26.43002700805664,26.727985382080078,26.867048263549805,27.06224250793457,27.440689086914062,27.695158004760742,27.921777725219727,27.83738136291504,28.37712287902832,28.119043350219727,28.37958526611328,28.55797576904297,28.766559600830078,28.589458465576172,28.883182525634766,28.909509658813477,28.90179443359375,28.929534912109375,29.147438049316406,29.096038818359375,29.269363403320312,29.271621704101562,29.31651496887207,29.30684471130371,29.373315811157227,29.43578338623047,29.627117156982422,29.421966552734375,29.557397842407227,29.626157760620117,29.572248458862305,29.54612159729004,29.711414337158203,29.613019943237305,29.746816635131836,29.678630828857422,29.787689208984375,29.890413284301758,29.915271759033203,29.846860885620117,29.922077178955078,29.93743133544922,30.01759147644043,30.012527465820312,29.97867774963379,30.145374298095703,30.1959228515625,30.09016990661621,30.07933807373047,30.0081729888916,30.095155715942383,30.221271514892578,30.14639663696289,30.284839630126953,30.079479217529297,30.282304763793945,30.395923614501953,30.304550170898438,30.326187133789062,30.28002166748047,30.347267150878906,30.438457489013672,30.43071174621582,30.34160614013672,30.449087142944336,30.350683212280273,30.44072723388672,30.238109588623047,30.597951889038086,30.45148277282715,30.331567764282227,30.55830192565918,30.338571548461914,30.45735740661621,30.50646209716797,30.651552200317383,30.741092681884766,30.74244499206543,30.717727661132812,30.711193084716797,30.770944595336914,30.77431297302246,30.651870727539062,30.926895141601562,30.986082077026367,30.893611907958984,30.89089584350586,30.983991622924805,31.10340690612793,31.175052642822266,31.14971351623535,31.11980628967285,31.235132217407227,31.541152954101562,31.292972564697266,31.72106170654297,32.96012496948242
stn_102,2023-12-28 08:00:00,2023-12-29 08:00:00,30.106501240617035,25.346342086791992,26.875574111938477,27.987756729125977,28.31583023071289,28.46767234802246,28.68581771850586,29.080825805664062,29.333927154541016,29.602920532226562,29.48759651184082,30.071752548217773,29.83099365234375,30.056800842285156,30.270631790161133,30.51667022705078,30.346107482910156,30.622304916381836,30.654489517211914,30.69815444946289,30.759307861328125,30.922273635864258,30.893577575683594,31.058156967163086,31.07622718811035,31.133804321289062,31.122177124023438,31.21295166015625,31.244094848632812,31.47929573059082,31.27379608154297,31.39116859436035,31.504131317138672,31.40467643737793,31.39149284362793,31.548084259033203,31.4821834564209,31.651466369628906,31.52504539489746,31.637948989868164,31.773456573486328,31.75437355041504,31.73855972290039,31.79843521118164,31.85240936279297,31.934410095214844,31.9173641204834,31.88612174987793,32.032493591308594,32.11332702636719,31.9653263092041,31.963150024414062,31.871938705444336,31.985980987548828,32.13248062133789,32.039833068847656,32.166786193847656,31.947803497314453,32.20480728149414,32.27235412597656,32.19218444824219,32.24164581298828,32.16795349121094,32.25083541870117,32.35715866088867,32.32402420043945,32.241455078125,32.384368896484375,32.282920837402344,32.38988494873047,32.16771697998047,32.547950744628906,32.39643096923828,32.297454833984375,32.49699783325195,32.29865646362305,32.40080261230469,32.44488525390625,32.60152053833008,32.70111083984375,32.69784164428711,32.704734802246094,32.65178680419922,32.70349884033203,32.684383392333984,32.57952880859375,32.846012115478516,32.949642181396484,32.857887268066406,32.807315826416016,32.94719696044922,33.067771911621094,33.09659194946289,33.059906005859375,33.1207160949707,33.21274185180664,33.483882904052734,33.235191345214844,33.536983489990234,34.72304916381836
stn_102,2023-12-28 09:00:00,2023-12-29 09:00:00,31.071999126940966,25.744022369384766,27.421417236328125,28.562379837036133,28.879108428955078,28.947053909301758,29.17695426940918,29.558290481567383,29.785545349121094,30.064878463745117,29.906286239624023,30.441375732421875,30.20479393005371,30.431455612182617,30.622081756591797,30.915300369262695,30.720924377441406,31.007944107055664,31.009742736816406,31.102323532104492,31.220027923583984,31.264305114746094,31.20850372314453,31.344955444335938,31.387712478637695,31.463510513305664,31.440635681152344,31.590435028076172,31.53114128112793,31.858915328979492,31.647537231445312,31.745288848876953,31.871463775634766,31.726289749145508,31.691104888916016,31.896913528442383,31.847637176513672,32.04631042480469,31.88765525817871,31.994089126586914,32.11064147949219,32.066009521484375,32.105125427246094,32.15023422241211,32.22859191894531,32.27471923828125,32.24119186401367,32.215335845947266,32.38636016845703,32.47007369995117,32.27647399902344,32.32014465332031,32.17896270751953,32.28795623779297,32.518619537353516,32.38457107543945,32.524539947509766,32.281253814697266,32.5556755065918,32.65107345581055,32.46876907348633,32.577178955078125,32.53853225708008,32.6278190612793,32.71937942504883,32.68153762817383,32.55326461791992,32.76906204223633,32.608375549316406,32.82319259643555,32.476776123046875,32.93027877807617,32.73664474487305,32.67393493652344,32.85118865966797,32.651153564453125,32.775390625,32.812259674072266,32.99560546875,33.099544525146484,33.11141586303711,33.123046875,33.02497100830078,33.076446533203125,32.99789047241211,32.944156646728516,33.215335845947266,33.34739685058594,33.224632263183594,33.16653823852539,33.350685119628906,33.451087951660156,33.4443244934082,33.40463638305664,33.544124603271484,33.590721130371094,33.90886688232422,33.685062408447266,33.92313766479492,35.11771774291992
stn_102,2023-12-28 10:00:00,2023-12-29 10:00:00,31.840699831336735,26.83595085144043,28.486268997192383,29.63716697692871,29.904476165771484,30.120864868164062,30.30752944946289,30.703433990478516,30.917285919189453,31.17572021484375,31.093700408935547,31.568315505981445,31.41213607788086,31.651161193847656,31.802675247192383,31.965797424316406,31.939855575561523,32.12077331542969,32.21475601196289,32.29125213623047,32.349239349365234,32.41521072387695,32.369937896728516,32.529598236083984,32.564353942871094,32.649112701416016,32.65547180175781,32.74322509765625,32.681304931640625,33.03789138793945,32.763431549072266,32.9255256652832,33.084999084472656,32.86500930786133,32.864200592041016,33.06393814086914,32.997886657714844,33.21341323852539,33.06320571899414,33.2067985534668,33.29083251953125,33.24005126953125,33.30469512939453,33.36671447753906,33.390960693359375,33.482887268066406,33.45854568481445,33.45457458496094,33.57061004638672,33.6591682434082,33.50214385986328,33.5855712890625,33.44315719604492,33.517337799072266,33.705535888671875,33.62482833862305,33.72480392456055,33.51185607910156,33.7631721496582,33.83797836303711,33.761802673339844,33.8002815246582,33.718170166015625,33.7955207824707,33.908023834228516,33.88791275024414,33.75575637817383,33.92438507080078,33.89628219604492,33.9891242980957,33.76736831665039,34.13329315185547,33.968570709228516,33.90226364135742,34.08400344848633,33.89371109008789,33.96262741088867,34.0368537902832,34.14995574951172,34.29157257080078,34.40196228027344,34.30966567993164,34.231353759765625,34.326499938964844,34.248023986816406,34.217506408691406,34.41471862792969,34.59745407104492,34.53990173339844,34.40949249267578,34.56707763671875,34.69120407104492,34.721981048583984,34.684818267822266,34.81844711303711,34.858211517333984,35.159690856933594,34.93434524536133,35.118141174316406,36.20428466796875
stn_102,2023-12-28 11:00:00,2023-12-29 11:00:00,31.877000767570735,27.470247268676758,29.150802612304688,30.304256439208984,30.556163787841797,30.784839630126953,30.98747444152832,31.36475944519043,31.56962776184082,31.84427833557129,31.761363983154297,32.19099807739258,32.064109802246094,32.295291900634766,32.435123443603516,32.592716217041016,32.599613189697266,32.726654052734375,32.86929702758789,32.95881652832031,32.996829986572266,33.04821014404297,32.97746658325195,33.13365173339844,33.184967041015625,33.27031707763672,33.291725158691406,33.38252258300781,33.28741455078125,33.67000198364258,33.40653610229492,33.57034683227539,33.73569107055664,33.487281799316406,33.48576354980469,33.699520111083984,33.63713455200195,33.86394119262695,33.706302642822266,33.85747146606445,33.91858673095703,33.864723205566406,33.948272705078125,34.00050354003906,34.027069091796875,34.11048889160156,34.09648895263672,34.09501647949219,34.20152282714844,34.287715911865234,34.13776397705078,34.23868179321289,34.09001159667969,34.14902877807617,34.34323501586914,34.27227020263672,34.38092803955078,34.16819381713867,34.39340591430664,34.48000717163086,34.408355712890625,34.45103073120117,34.362335205078125,34.44941711425781,34.53587341308594,34.52730178833008,34.38310623168945,34.563873291015625,34.54084777832031,34.64933776855469,34.4149284362793,34.770782470703125,34.608158111572266,34.570980072021484,34.73005294799805,34.5446891784668,34.619285583496094,34.68681335449219,34.785709381103516,34.93427276611328,35.078582763671875,34.97172546386719,34.88539123535156,34.98930740356445,34.882232666015625,34.8769416809082,35.06505584716797,35.258522033691406,35.20909118652344,35.076717376708984,35.24660873413086,35.3533935546875,35.377845764160156,35.3380126953125,35.50364685058594,35.53816223144531,35.823402404785156,35.6219367980957,35.77965545654297,36.79443359375
stn_102,2023-12-28 12:00:00,2023-12-29 12:00:00,32.39670075327754,27.4935302734375,29.211959838867188,30.36417579650879,30.577014923095703,30.799911499023438,31.00617027282715,31.34695053100586,31.527965545654297,31.80974769592285,31.7316837310791,32.09346389770508,31.993227005004883,32.21765899658203,32.35200119018555,32.49644470214844,32.51768493652344,32.61830520629883,32.75632095336914,32.853858947753906,32.903343200683594,32.93315887451172,32.8455924987793,32.97222137451172,33.04420471191406,33.109615325927734,33.15788269042969,33.25825119018555,33.12660598754883,33.526649475097656,33.28693389892578,33.42892837524414,33.584381103515625,33.35334777832031,33.339744567871094,33.5570068359375,33.53521728515625,33.74153137207031,33.59066390991211,33.717350006103516,33.77684783935547,33.69926452636719,33.83083724975586,33.85780715942383,33.89811325073242,33.936668395996094,33.93535614013672,33.94012451171875,34.048099517822266,34.12235641479492,33.9715461730957,34.095794677734375,33.940433502197266,33.97574996948242,34.19657897949219,34.122718811035156,34.24933624267578,34.05127716064453,34.243045806884766,34.340763092041016,34.24472427368164,34.29598617553711,34.248191833496094,34.33729553222656,34.383514404296875,34.39023208618164,34.22945785522461,34.42173767089844,34.38740158081055,34.549560546875,34.29740524291992,34.614906311035156,34.44735336303711,34.45919418334961,34.59650421142578,34.4138069152832,34.487606048583984,34.55718231201172,34.67253875732422,34.80846405029297,34.957313537597656,34.856693267822266,34.75492477416992,34.885894775390625,34.744285583496094,34.76499557495117,34.954612731933594,35.15519714355469,35.08352279663086,34.96515655517578,35.1354866027832,35.24075698852539,35.23087692260742,35.24530029296875,35.41383743286133,35.413936614990234,35.734256744384766,35.56782150268555,35.721397399902344,36.729366302490234
stn_102,2023-12-28 13:00:00,2023-12-29 13:00:00,32.726699717479946,27.73035430908203,29.47212028503418,30.607219696044922,30.78722381591797,31.056114196777344,31.27442169189453,31.57318115234375,31.764549255371094,32.02457809448242,31.991926193237305,32.26841354370117,32.19481658935547,32.45353698730469,32.580833435058594,32.65043640136719,32.709598541259766,32.78694152832031,32.98240280151367,33.03618240356445,33.049835205078125,33.12271499633789,32.97304153442383,33.12618637084961,33.192222595214844,33.23768615722656,33.32267761230469,33.42856216430664,33.262149810791016,33.70323944091797,33.429718017578125,33.60591506958008,33.73469543457031,33.510746002197266,33.48509216308594,33.73210144042969,33.69917297363281,33.89194107055664,33.76584243774414,33.88640213012695,33.93449401855469,33.876548767089844,34.00801467895508,34.02226638793945,34.052669525146484,34.06690216064453,34.07387161254883,34.085113525390625,34.19355010986328,34.265018463134766,34.14134979248047,34.31399154663086,34.13104248046875,34.11882400512695,34.348323822021484,34.3067626953125,34.44275665283203,34.27778244018555,34.40068817138672,34.536006927490234,34.417781829833984,34.45540237426758,34.440826416015625,34.52949142456055,34.54217529296875,34.59615707397461,34.384742736816406,34.57265090942383,34.55308151245117,34.74188232421875,34.475284576416016,34.77198028564453,34.58247375488281,34.614601135253906,34.77369689941406,34.566802978515625,34.666412353515625,34.73763656616211,34.840248107910156,34.975364685058594,35.168922424316406,35.024906158447266,34.91262435913086,35.09020233154297,34.94155502319336,34.98055648803711,35.16598892211914,35.35361099243164,35.29194641113281,35.2115364074707,35.334190368652344,35.462833404541016,35.4490852355957,35.517967224121094,35.6423225402832,35.60703659057617,36.01465606689453,35.861568450927734,36.03645706176758,36.9784049987793
stn_102,2023-12-28 14:00:00,2023-12-29 14:00:00,32.765801111668345,27.926849365234375,29.694326400756836,30.77139663696289,30.93389320373535,31.241798400878906,31.468955993652344,31.728681564331055,31.921850204467773,32.1512336730957,32.15803527832031,32.37934494018555,32.336219787597656,32.60273742675781,32.72785186767578,32.72911071777344,32.8226203918457,32.88372802734375,33.100521087646484,33.13570022583008,33.14035415649414,33.2044792175293,33.04074478149414,33.21998977661133,33.25912857055664,33.30290603637695,33.410770416259766,33.49287414550781,33.34059524536133,33.789649963378906,33.47101974487305,33.68734359741211,33.793888092041016,33.56049346923828,33.54356384277344,33.80496597290039,33.73147964477539,33.9506721496582,33.845211029052734,33.969879150390625,33.99406051635742,33.95383834838867,34.077091217041016,34.097225189208984,34.09489440917969,34.11918640136719,34.138084411621094,34.147552490234375,34.244178771972656,34.299198150634766,34.20816421508789,34.40498733520508,34.2233772277832,34.1876106262207,34.398582458496094,34.38981628417969,34.52564239501953,34.37300491333008,34.45475769042969,34.61378479003906,34.48860549926758,34.51204299926758,34.52312088012695,34.58330154418945,34.60376739501953,34.68086624145508,34.435302734375,34.63181686401367,34.61832809448242,34.79987335205078,34.55125427246094,34.82102584838867,34.643741607666016,34.680931091308594,34.84343719482422,34.62351608276367,34.74243927001953,34.807987213134766,34.90238571166992,35.03219223022461,35.26390838623047,35.07297897338867,34.98025131225586,35.158836364746094,35.02604293823242,35.09157180786133,35.24911117553711,35.41696548461914,35.38413619995117,35.332454681396484,35.422821044921875,35.55967330932617,35.569854736328125,35.64418411254883,35.72486114501953,35.70374298095703,36.15268325805664,36.02751541137695,36.220306396484375,37.093387603759766
stn_102,2023-12-28 15:00:00,2023-12-29 15:00:00,33.63330047245026,28.26819610595703,29.970561981201172,31.027708053588867,31.221118927001953,31.543607711791992,31.78063201904297,32.028926849365234,32.23878860473633,32.46354675292969,32.481056213378906,32.71331024169922,32.68577194213867,32.92506790161133,33.048030853271484,33.06550598144531,33.17627716064453,33.2004280090332,33.472740173339844,33.481529235839844,33.45476531982422,33.580780029296875,33.420166015625,33.58918762207031,33.624210357666016,33.6505012512207,33.76582717895508,33.8358154296875,33.73784637451172,34.1119270324707,33.84735870361328,34.04277801513672,34.139461517333984,33.95318603515625,33.927093505859375,34.15569305419922,34.09712219238281,34.27229309082031,34.20258712768555,34.326026916503906,34.33975601196289,34.324424743652344,34.42838668823242,34.431461334228516,34.437923431396484,34.48020935058594,34.50871276855469,34.510520935058594,34.57624816894531,34.63825988769531,34.58192443847656,34.752723693847656,34.618812561035156,34.58076858520508,34.73836898803711,34.746559143066406,34.873409271240234,34.7509765625,34.791446685791016,34.93574523925781,34.88494110107422,34.88862609863281,34.89495849609375,34.949764251708984,34.93284606933594,35.04270935058594,34.842689514160156,34.98657989501953,34.994571685791016,35.14031982421875,34.942962646484375,35.17172622680664,35.017364501953125,35.05699920654297,35.204505920410156,34.9999885559082,35.11406707763672,35.163516998291016,35.264381408691406,35.38576889038086,35.599937438964844,35.42977523803711,35.354793548583984,35.52363204956055,35.424686431884766,35.46444320678711,35.61013412475586,35.75955581665039,35.759033203125,35.715091705322266,35.80307388305664,35.919559478759766,35.92923355102539,36.01031494140625,36.09181594848633,36.07792663574219,36.48262405395508,36.3719482421875,36.585899353027344,37.39203643798828
stn_102,2023-12-28 16:00:00,2023-12-29 16:00:00,33.84249968246222,28.409095764160156,30.067766189575195,31.081758499145508,31.291202545166016,31.632583618164062,31.867313385009766,32.100318908691406,32.29966354370117,32.52669906616211,32.5494270324707,32.774723052978516,32.78599166870117,32.97394561767578,33.10263442993164,33.126224517822266,33.25016784667969,33.239784240722656,33.50843048095703,33.537960052490234,33.51141357421875,33.635074615478516,33.50877380371094,33.649375915527344,33.68932342529297,33.72267532348633,33.834617614746094,33.86898422241211,33.81814956665039,34.121063232421875,33.90888595581055,34.07918930053711,34.17973327636719,34.00925064086914,34.00494384765625,34.1797981262207,34.14346694946289,34.3154296875,34.250797271728516,34.362632751464844,34.385032653808594,34.35519790649414,34.4682502746582,34.47132873535156,34.47616195678711,34.5234375,34.56843948364258,34.5729866027832,34.612693786621094,34.65987777709961,34.621986389160156,34.75409698486328,34.679264068603516,34.64594650268555,34.76071548461914,34.77808380126953,34.88645935058594,34.77804183959961,34.82917022705078,34.93378448486328,34.937992095947266,34.92721939086914,34.920223236083984,34.9676399230957,34.95749282836914,35.04475021362305,34.8991813659668,35.015743255615234,35.04694747924805,35.14461135864258,35.02824401855469,35.18055725097656,35.09196090698242,35.12499237060547,35.24189376831055,35.06962966918945,35.1525764465332,35.20625305175781,35.29275131225586,35.407447814941406,35.60567092895508,35.45315933227539,35.4055061340332,35.55764389038086,35.47705841064453,35.50872802734375,35.62449264526367,35.77332305908203,35.789093017578125,35.73904800415039,35.836021423339844,35.9322395324707,35.949195861816406,36.03212356567383,36.10826873779297,36.132850646972656,36.47163009643555,36.390804290771484,36.59547805786133,37.37367630004883
